block_id,pipeline,model,n_features_before,n_features_after,best_params,accuracy,macro_f1,fit_runtime_sec,inference_runtime_sec
2,scaled,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 50}",0.839,0.8366975714774426,34.631692965000184,0.022268776000601065
3,scaled,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}",0.813,0.8127544854738096,16.441862346000562,0.49136774399994465
3,scaled,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.829,0.8272617963241953,35.41368234000038,0.011319000000185042
3,scaled,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.843,0.8414213911151014,35.178899124000964,0.024599098999715352
4,scaled,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.817,0.8182146082873402,15.780055356999583,0.5162709710002673
4,scaled,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.821,0.8216415425191166,34.70497414900001,0.007397151000077429
4,scaled,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.834,0.8316658752949568,35.21429262000038,0.020223346999955538
5,scaled,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.804,0.8045030011524202,15.748706313000184,0.43099432199960575
5,scaled,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.82,0.818504531437231,33.871144026000366,0.01109446700047556
5,scaled,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.844,0.840812352485397,35.77875895699981,0.026344677999986743
6,scaled,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.822,0.821818303432092,16.894198573000722,0.4993293649995394
6,scaled,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.826,0.8250341252998729,38.55487926200021,0.010876202999497764
