block_id,pipeline,model,n_features_before,n_features_after,best_params,accuracy,macro_f1,fit_runtime_sec,inference_runtime_sec
2,pca_50,RandomForestClassifier,784,5,"{'max_depth': 20, 'n_estimators': 100}",0.745,0.7434290103220842,15.142007100002957,0.025927900001988746
3,pca_50,KNeighborsClassifier,784,5,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.719,0.7157514588039927,2.066987700003665,0.011796099999628495
3,pca_50,LogisticRegression,784,5,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.696,0.6886263883884733,11.871698800001468,0.005455400008941069
3,pca_50,RandomForestClassifier,784,5,"{'max_depth': 20, 'n_estimators': 50}",0.721,0.7212260020132867,17.116023500006122,0.01514129999850411
4,pca_50,KNeighborsClassifier,784,5,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}",0.704,0.698426019860634,2.6962920000005397,0.04407210000499617
4,pca_50,LogisticRegression,784,5,"{'C': 1.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.685,0.6786723854636502,11.074858599997242,0.007365299999946728
4,pca_50,RandomForestClassifier,784,5,"{'max_depth': 20, 'n_estimators': 100}",0.717,0.7150256781379916,14.997844400000758,0.02613299999939045
5,pca_50,KNeighborsClassifier,784,5,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.717,0.7132498667906185,2.0643815000003087,0.01167649999842979
5,pca_50,LogisticRegression,784,5,"{'C': 10.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.721,0.7100864051751758,11.43141900000046,0.005414399995061103
5,pca_50,RandomForestClassifier,784,5,"{'max_depth': 10, 'n_estimators': 50}",0.736,0.7269831918737576,14.143408400006592,0.01273399999627145
6,pca_50,KNeighborsClassifier,784,5,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.715,0.7128727647149782,2.0247278999959235,0.012065499999152962
6,pca_50,LogisticRegression,784,5,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.688,0.6807137727894634,11.236262400001578,0.005522999999811873
6,pca_50,RandomForestClassifier,784,5,"{'max_depth': 10, 'n_estimators': 100}",0.729,0.723199084187006,14.692847500002244,0.019422400000621565
