model,metric,mean_diff,std_diff,min_diff,max_diff,mean_abs_diff
KNeighborsClassifier,accuracy,0.0,0.0,0.0,0.0,0.0
KNeighborsClassifier,fit_runtime_sec,-3.4135481032000143,6.36671148400329,-18.475002186999745,2.190760796999257,4.16498317220005
KNeighborsClassifier,inference_runtime_sec,-0.04316356619999624,0.3906451266848217,-0.6702199289998134,0.2707499650009595,0.31770082640002784
KNeighborsClassifier,macro_f1,0.0,0.0,0.0,0.0,0.0
LogisticRegression,accuracy,0.00010000000000000009,0.0007378647873726226,-0.0010000000000000009,0.0020000000000000018,0.00030000000000000024
LogisticRegression,fit_runtime_sec,-1.4434359011001785,24.02768575036811,-50.98990815099978,22.32778076999989,17.064972855899555
LogisticRegression,inference_runtime_sec,0.00590638590006166,0.0031147195433249954,-0.0012219489999551999,0.011494303000290501,0.0061507757000527005
LogisticRegression,macro_f1,0.00010971970441456814,0.0007640063477438804,-0.0009999999999998899,0.002091339551503979,0.0003097197044145461
RandomForestClassifier,accuracy,-0.0007000000000000006,0.0016363916944844784,-0.0030000000000000027,0.0020000000000000018,0.0013000000000000012
RandomForestClassifier,fit_runtime_sec,-23.143774102100224,6.033235629449929,-28.235432789000477,-13.39579383499973,23.143774102100224
RandomForestClassifier,inference_runtime_sec,0.00724732759981634,0.003062082221423255,0.0024072469998373015,0.012996176000569898,0.00724732759981634
RandomForestClassifier,macro_f1,-0.0007375747670219313,0.0017495202395874032,-0.0031721558494428592,0.0023248587657944686,0.0014025465201808252
