model,metric,block_id,no_pca_value,scaled_value,diff
LogisticRegression,inference_runtime_sec,7,0.0106876770005328,0.0109853659996588,0.00029768899912599976
LogisticRegression,inference_runtime_sec,8,0.011026621999008,0.0108427000004667,-0.00018392199854130008
LogisticRegression,inference_runtime_sec,9,0.0064631400000507,0.0108115349994477,0.004348394999396999
RandomForestClassifier,accuracy,0,0.83,0.83,0.0
RandomForestClassifier,accuracy,1,0.847,0.847,0.0
RandomForestClassifier,accuracy,2,0.839,0.839,0.0
RandomForestClassifier,accuracy,3,0.843,0.843,0.0
RandomForestClassifier,accuracy,4,0.834,0.834,0.0
RandomForestClassifier,accuracy,5,0.844,0.844,0.0
RandomForestClassifier,accuracy,6,0.837,0.837,0.0
RandomForestClassifier,accuracy,7,0.838,0.838,0.0
RandomForestClassifier,accuracy,8,0.821,0.821,0.0
RandomForestClassifier,accuracy,9,0.837,0.837,0.0
RandomForestClassifier,macro_f1,0,0.8267968874002275,0.8267968874002275,0.0
RandomForestClassifier,macro_f1,1,0.8436505578118888,0.8436505578118888,0.0
RandomForestClassifier,macro_f1,2,0.8366975714774426,0.8366975714774426,0.0
RandomForestClassifier,macro_f1,3,0.8414213911151014,0.8414213911151014,0.0
RandomForestClassifier,macro_f1,4,0.8316658752949568,0.8316658752949568,0.0
RandomForestClassifier,macro_f1,5,0.840812352485397,0.840812352485397,0.0
RandomForestClassifier,macro_f1,6,0.8355949485367018,0.8355949485367018,0.0
RandomForestClassifier,macro_f1,7,0.8346608876517602,0.8346608876517602,0.0
RandomForestClassifier,macro_f1,8,0.8186504538057477,0.8186504538057477,0.0
RandomForestClassifier,macro_f1,9,0.8344459646479508,0.8344459646479508,0.0
RandomForestClassifier,fit_runtime_sec,0,35.82598935899932,34.90079899800003,-0.9251903609992951
RandomForestClassifier,fit_runtime_sec,1,36.19970315599949,36.14945989399985,-0.0502432619996398
RandomForestClassifier,fit_runtime_sec,2,34.72322605999943,34.631692965000184,-0.09153309499924944
RandomForestClassifier,fit_runtime_sec,3,36.68265507999968,35.178899124000964,-1.503755955998713
RandomForestClassifier,fit_runtime_sec,4,37.90476158799993,35.21429262000038,-2.69046896799955
RandomForestClassifier,fit_runtime_sec,5,35.7559391979994,35.77875895699981,0.02281975900040578
RandomForestClassifier,fit_runtime_sec,6,36.02801782300048,35.120629510999606,-0.9073883120008759
RandomForestClassifier,fit_runtime_sec,7,36.47861162100071,36.08534152499942,-0.39327009600128804
RandomForestClassifier,fit_runtime_sec,8,37.379540989000816,35.97773728299853,-1.4018037060022834
RandomForestClassifier,fit_runtime_sec,9,35.9876358169995,37.32499960199948,1.3373637849999795
RandomForestClassifier,inference_runtime_sec,0,0.0255570459994487,0.0252039779998085,-0.0003530679996402025
RandomForestClassifier,inference_runtime_sec,1,0.0275769970012333,0.0248383939992891,-0.002738603001944201
RandomForestClassifier,inference_runtime_sec,2,0.0190316190000885,0.022268776000601,0.0032371570005125007
RandomForestClassifier,inference_runtime_sec,3,0.0245103379993452,0.0245990989997153,8.876100037009949e-05
RandomForestClassifier,inference_runtime_sec,4,0.0279713330000959,0.0202233469999555,-0.0077479860001404
RandomForestClassifier,inference_runtime_sec,5,0.0263826439995682,0.0263446779999867,-3.796599958149835e-05
RandomForestClassifier,inference_runtime_sec,6,0.0254999190001399,0.0255039659996327,4.046999492798159e-06
RandomForestClassifier,inference_runtime_sec,7,0.0243389020006361,0.0256054189994756,0.0012665169988394995
RandomForestClassifier,inference_runtime_sec,8,0.02595427399865,0.0260430209991682,8.87470005182002e-05
RandomForestClassifier,inference_runtime_sec,9,0.0206264949993055,0.0255614979996607,0.004935003000355199
